time,open,high,low,close
2023-04-27,467,469.5,457.5,469
2023-04-28,467,467,458.5,461
2023-05-01,457,463.5,450,450
2023-05-02,455,455,445.5,449.5
2023-05-03,446.5,450,441.5,446
2023-05-04,450,455.5,447,455
2023-05-05,450.5,456,450.5,453
2023-05-08,460,469,450,461
2023-05-09,458,458,445.5,447.5
2023-05-10,445,450,433.5,445
2023-05-11,522,524.5,514,520
2023-05-12,511.5,513.5,508,510.5
2023-05-15,508,509.5,506,508.5
2023-05-16,508.5,510,505,505.5
2023-05-17,505,506.5,501.5,503
2023-05-18,505,510,503.5,503.5
2023-05-19,503.5,504.5,501.5,501.5
2023-05-22,502.5,504.5,502,502
2023-05-23,501.5,504.5,497,497.5
2023-05-24,496,497,492,496.5
2023-05-25,494,495,488.5,489
2023-05-26,487.5,489.5,485,487
2023-05-30,486,487,482.5,482.5
2023-05-31,481.5,484.5,478.5,478.5
2023-06-01,478,489.5,478,483
2023-06-02,484.5,486.5,480.5,481.5
2023-06-05,482.5,485,481.5,485
2023-06-06,486.5,493,484,492.5
2023-06-07,495,508,493.5,507
2023-06-08,511,516,509,515
2023-06-09,515,519.5,490.5,510
2023-06-12,507,514.5,498,510
2023-06-13,510,537,509,528
2023-06-14,526,532.5,519.5,523
2023-06-15,522,528,520.5,525
2023-06-16,527,531.5,523,525
2023-06-20,535,544,530.5,538.5
2023-06-21,542,551,541.5,549
2023-06-22,549,556.5,549,554
2023-06-23,556,562,555,559.5
2023-06-26,559.5,564,550,556
2023-06-27,549,551.5,542,550.5
2023-06-28,546.5,549,531.5,539
2023-06-29,539,540,530.5,534
2023-06-30,534,539,528.5,531
2023-07-03,528,528,521,524
2023-07-05,527,532.5,522.5,529
2023-07-06,530,532,524,531.5
2023-07-07,534,542.5,534,540
2023-07-10,542,562.5,542,560.5
2023-07-11,561.5,562.5,551,561.5
2023-07-12,585,591.5,571,583
2023-07-13,577,582.5,577,582.5
2023-07-14,582.5,586.5,577.5,579.5
2023-07-17,580.5,590,579.5,585
2023-07-18,588,593,579,579
2023-07-19,575,575,541.5,549
2023-07-20,548,558,545,545.5
2023-07-21,545.5,551,541.5,546.5
2023-07-24,549,551,538.5,540
2023-07-25,537,537,520.5,526
2023-07-26,521.5,525,517,519
2023-07-27,519.5,521,518,518
2023-07-28,519.5,521,514,516.5
2023-07-31,514.5,517,507,511.5
2023-08-01,511.5,514,505,505.5
2023-08-02,505.5,508,500,501
2023-08-03,501,503.5,496.5,497.5
2023-08-04,498.5,499,495,495.5
2023-08-07,495.5,498,495,495.5
2023-08-08,501,519,498.5,499.5
2023-08-09,500,501.5,490,496.5
2023-08-10,495,497.5,492,495
2023-08-11,495,496,492,495
2023-08-14,495,500,494,498.5
2023-08-15,500,512.5,500,511.5
2023-08-16,515,530,515,530
2023-08-17,529.5,531,509,520
2023-08-18,522.5,534.5,519,534
2023-08-21,539,543,532.5,534.5
2023-08-22,532,536.5,522.5,529
2023-08-23,525.5,536,524.5,530
2023-08-24,532.5,537,525.5,529
2023-08-25,530,531,515,516
2023-08-28,510.5,520,510,510.5
2023-08-29,509,516,507.5,515
2023-08-30,517.5,518,510,510
2023-08-31,514,516.5,505.5,509
2023-09-01,510,510,503,503.5
2023-09-05,504,505,501.5,502.5
2023-09-06,504.5,510,500.5,502
2023-09-07,499,506,499,500.5
2023-09-08,500,509.5,500,508.5
2023-09-11,509.5,518,509.5,515
2023-09-12,517,522.5,510,510
2023-09-13,499,504,496,503.5
2023-09-14,500,507,500,503.5
2023-09-15,501.5,503.5,496.5,500.5
2023-09-18,498,498,491,494.5
2023-09-19,493.5,495,488,488.5
