time,open,high,low,close
2025/2/18,1981,2073,1962,2029.9
2025/2/19,2010,2199,2005.5,2084.4
2025/2/20,2050,2088.8,1964,2064
2025/2/21,2034.9,2076,1980,1991.6
2025/2/24,1971,1980.6,1805,1823.7
2025/2/25,1810,1917.8,1782,1862
2025/2/26,1838,1928,1752,1790
2025/2/27,1750,1810,1727,1800.5
2025/2/28,1776.9,1794,1745,1774.1
2025/3/3,1796,1870,1750.4,1764.1
2025/3/4,2300,2326.6,2020,2020
2025/3/5,2020,2102.1,1964,2098.9
2025/3/6,2150,2357,2103,2336
2025/3/7,2338,2395,2263,2330
2025/3/10,2320,2335,2200,2265.5
2025/3/11,2250,2386,2204,2335.8
2025/3/12,2385,2438.8,2245.4,2272
2025/3/13,2276,2298,2088,2122.1
2025/3/14,2120,2194.7,2080,2154.1
2025/3/17,2280,2333.2,2156,2204.1
2025/3/18,2210,2289,2172.2,2228
2025/3/19,2234.1,2297.8,2032,2056
2025/3/20,2030,2079,1976,2038
2025/3/21,2085,2140,2010,2078.9
2025/3/24,2100,2108,2038,2072
2025/3/25,2060,2213,2013,2146.8
2025/3/26,2166,2199,2093.1,2144.9
2025/3/27,2178.8,2195,2124,2160.2
2025/3/28,2200,2295,2180,2288
2025/3/31,2300,2318,2170,2183.7
